,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Stromness,90,CA,1547963640,87,42.87,-79.55,15.98,21.92
375,Doha,0,QA,1547964000,55,25.29,51.53,60.8,10.29
376,Ostashkov,88,RU,1547965019,92,57.14,33.12,24.42,21.72
377,Atasu,12,KZ,1547965020,89,48.68,71.64,22.71,8.75
378,Sicamous,90,CA,1547962560,83,50.84,-118.99,32.0,2.24
379,Tiarei,75,PF,1547964000,69,-17.53,-149.33,82.4,3.36
380,Krasnyy Kholm,76,RU,1547965024,88,58.06,37.11,20.46,16.02
381,Santa Fe,0,AR,1547964740,90,-31.62,-60.7,59.52,7.4
382,Shakawe,24,BW,1547965027,88,-18.36,21.84,72.03,4.61
383,Nuevo Progreso,1,US,1547963700,40,26.05,-97.95,57.02,9.17
384,Maralal,0,KE,1547965029,67,1.1,36.7,66.27,3.27
385,Maniitsoq,76,GL,1547965031,100,65.42,-52.9,16.14,7.18
386,Biak,20,ID,1547965032,83,-0.91,122.88,85.44,2.59
387,Yatou,75,CM,1547960400,100,3.63,9.81,75.2,3.36
388,Tawau,75,MY,1547960400,66,4.26,117.89,87.8,5.82
389,Brewster,90,US,1547964480,89,41.76,-70.08,37.04,13.87
390,Grand Gaube,40,MU,1547964000,66,-20.01,57.66,86.0,16.11
391,Ambositra,32,MG,1547965039,89,-20.53,47.24,72.03,3.15
392,Praia da Vitoria,20,PT,1547960400,87,38.73,-27.07,55.4,7.29
393,Hami,0,CN,1547965042,80,42.84,93.51,27.21,2.15
394,Platteville,1,US,1547963700,77,42.73,-90.48,5.0,6.93
395,Kharp,0,RU,1547965044,25,66.82,65.8,-17.07,2.48
396,Port Augusta,0,AU,1547960400,29,-32.49,137.76,87.8,13.87
397,Belyy Yar,56,RU,1547964000,84,53.6,91.39,3.2,3.38
398,Khomeyn,0,IR,1547964000,68,33.64,50.08,28.4,2.82
399,Ponta Delgada,20,PT,1547962200,87,37.73,-25.67,51.8,5.82
400,Atikokan,0,CA,1547965051,35,48.76,-91.62,-24.27,4.5
401,Avera,90,US,1547963700,83,33.19,-82.53,59.0,5.82
402,Ixtapa,20,MX,1547963160,100,20.71,-105.21,68.0,4.7
403,Raducaneni,90,RO,1547962200,79,46.95,27.93,26.6,13.87
404,Pochinok,76,RU,1547965056,87,54.4,32.44,21.0,19.71
405,Xunchang,92,CN,1547965057,92,28.45,104.71,43.68,3.15
406,Kirensk,76,RU,1547965059,67,57.78,108.12,20.28,6.73
407,Tierra Colorada,90,MX,1547962980,94,17.17,-99.53,75.2,2.24
408,Cerrito,40,CO,1547960400,88,6.84,-72.7,71.6,2.24
409,Qasigiannguit,88,GL,1547963400,77,68.82,-51.19,-0.41,11.41
410,Severo-Yeniseyskiy,88,RU,1547965064,71,60.37,93.04,17.4,4.61
411,Kwinana,0,AU,1547962200,22,-32.25,115.77,109.4,16.11
412,Marrakesh,40,MA,1547962200,71,31.63,-7.99,51.8,8.05
413,Carutapera,80,BR,1547965068,95,-1.2,-46.02,77.7,5.61
414,Haines Junction,36,CA,1547965069,71,60.75,-137.51,-13.02,2.26
415,Dingle,92,PH,1547965004,98,11.0,122.67,75.18,11.32
416,Kouqian,36,CN,1547965072,49,43.66,126.5,14.34,10.98
417,West Bay,75,GB,1547963400,93,50.71,-2.76,41.0,5.82
418,Coquimbo,0,CL,1547964000,93,-29.95,-71.34,57.2,4.7
419,Vestmannaeyjar,48,IS,1547965076,100,63.44,-20.27,36.03,22.17
420,Blagoyevo,36,RU,1547965077,85,63.37,47.92,8.76,3.27
421,Lanxi,80,CN,1547965079,79,29.21,119.46,47.1,4.61
422,Novyy Urengoy,0,RU,1547965080,58,66.08,76.63,-6.27,9.53
423,Ulaangom,8,MN,1547965081,81,49.98,92.07,3.81,2.48
424,Hofn,0,IS,1547964939,100,64.25,-15.21,35.4,16.13
425,Lakes Entrance,0,AU,1547965084,78,-37.88,147.99,72.66,6.96
426,Keflavik,75,IS,1547964000,100,64.0,-22.56,32.0,20.8
427,Murray Bridge,0,AU,1547965087,65,-35.12,139.28,76.35,10.09
428,Grenfell,64,AU,1547965088,84,-33.9,148.16,83.01,2.71
429,Kampong Thum,0,KH,1547965089,41,12.71,104.89,93.99,7.85
430,Peniche,20,PT,1547962200,76,39.36,-9.38,53.6,17.22
431,Sao Felix do Xingu,92,BR,1547965092,100,-6.64,-51.99,69.51,2.15
432,Darnah,92,LY,1547965093,100,32.77,22.64,58.44,23.85
433,Calvinia,0,ZA,1547963040,34,-31.47,19.78,66.2,14.99
434,Wattegama,44,LK,1547965096,61,7.35,80.68,79.86,6.96
435,Orange Walk,40,JM,1547964000,69,17.93,-76.27,77.0,9.17
436,Chumikan,0,RU,1547965099,51,54.72,135.31,-3.66,5.39
437,Ukhta,68,RU,1547965100,78,63.56,53.68,10.56,3.15
438,Awbari,0,LY,1547965102,67,26.59,12.77,47.46,7.85
439,Bin Qirdan,0,TN,1547965103,88,33.14,11.22,42.24,9.31
440,Smithers,90,CA,1547960520,67,54.78,-127.17,37.4,10.29
441,Betare Oya,0,CM,1547965106,76,5.6,14.08,63.93,2.59
442,Afrikanda,36,RU,1547965107,68,67.44,32.78,-5.46,2.15
443,Birao,0,CF,1547965108,46,10.3,22.78,60.96,12.44
444,Homer,1,US,1547963580,80,59.64,-151.54,19.04,15.12
445,Bonthe,0,SL,1547965079,99,7.53,-12.5,75.72,2.93
446,Vasterhaninge,0,SE,1547963400,79,59.12,18.1,21.2,6.93
447,Kanigoro,20,ID,1547965113,94,-8.13,112.22,83.19,10.31
448,Teno,0,CL,1547964000,82,-34.87,-71.16,59.0,4.7
449,Eureka,90,US,1547963700,100,40.8,-124.16,57.92,3.36
450,Campos Belos,92,BR,1547965117,95,-13.04,-46.77,68.16,6.06
451,Zbarazh,76,UA,1547965119,91,49.66,25.78,19.83,7.96
452,Suntar,64,RU,1547965120,71,62.16,117.65,-2.4,3.71
453,Fukue,75,JP,1547964000,87,35.03,136.69,44.6,12.75
454,Znamenskoye,88,RU,1547965123,88,57.13,73.82,16.23,6.85
455,Marion,1,US,1547963760,83,38.35,-97.02,17.6,3.94
456,Livingston,90,US,1547963760,80,32.58,-88.19,37.94,12.75
457,Aitape,76,PG,1547965127,100,-3.15,142.36,80.13,4.38
458,Okahandja,0,NA,1547964000,12,-21.98,16.91,75.2,10.29
459,Haldibari,0,IN,1547965129,43,26.34,88.78,76.53,3.71
460,Zhanaozen,24,KZ,1547965129,79,43.35,52.85,26.94,4.83
461,Viedma,0,AR,1547965132,34,-40.81,-62.99,74.55,18.81
462,Antonina,90,BR,1547960400,93,-25.43,-48.71,64.4,8.05
463,Ipixuna,40,BR,1547964000,100,-1.76,-48.8,75.2,6.93
464,Shingu,75,JP,1547964000,62,33.72,135.99,55.4,18.34
465,Singaraja,76,ID,1547965137,94,-8.11,115.08,79.23,2.37
466,Katiola,20,CI,1547960400,100,8.14,-5.1,69.8,6.93
467,Yichang,68,CN,1547965140,85,30.77,111.32,45.66,6.73
468,Lazaro Cardenas,0,MX,1547965141,61,28.39,-105.62,31.8,2.82
469,Conde,20,BR,1547965143,96,-11.81,-37.61,76.53,5.73
470,Santa Rita,20,VE,1547965145,96,10.21,-67.56,63.48,2.26
471,Russell,0,AR,1547964000,72,-33.01,-68.8,68.0,3.36
472,Gold Coast,0,AU,1547964000,61,-28.0,153.41,82.4,10.29
473,Hualmay,8,PE,1547965149,95,-11.1,-77.61,64.2,2.93
474,Valparaiso,90,US,1547963760,67,41.47,-87.06,19.4,12.75
475,Prince Rupert,90,CA,1547960400,93,54.32,-130.32,41.0,17.22
476,Mobaye,0,CF,1547965153,85,4.33,21.18,71.04,2.15
477,Morondava,88,MG,1547965154,79,-20.3,44.28,87.51,6.17
478,Bandarbeyla,92,SO,1547965155,100,9.49,50.81,75.54,16.13
479,Kirksville,1,US,1547962500,91,40.19,-92.58,5.0,11.41
480,Mandi Bahauddin,88,PK,1547965158,77,32.58,73.49,52.68,6.29
481,Derzhavinsk,8,KZ,1547965159,95,51.1,66.31,24.78,8.75
482,Buraydah,0,SA,1547964000,70,26.33,43.97,48.2,9.17
483,Chapais,1,CA,1547963340,65,49.78,-74.86,-36.41,3.36
484,Kil,0,SE,1547963400,92,59.5,13.32,15.8,3.36
485,Challapata,36,BO,1547965165,83,-18.9,-66.78,29.73,2.71
486,Mayor Pablo Lagerenza,68,PY,1547965166,64,-19.93,-60.77,77.88,6.85
487,Hailar,0,CN,1547965167,70,49.2,119.7,11.82,9.31
488,Remontnoye,75,RU,1547964000,92,46.56,43.66,32.0,8.95
489,Price,1,US,1547963580,87,39.6,-110.81,15.98,4.7
490,Havoysund,80,NO,1547963400,62,71.0,24.66,24.8,24.16
491,Turbat,64,PK,1547965173,79,26.0,63.05,67.98,4.38
492,El Carmen,90,AR,1547964000,93,-24.39,-65.26,62.6,5.82
493,Pastavy,92,BY,1547965176,92,55.11,26.84,27.48,21.27
494,Watertown,90,US,1547963700,61,44.9,-97.12,-0.94,9.17
495,Sibolga,88,ID,1547964932,90,1.74,98.78,76.08,2.71
496,Upington,0,ZA,1547964000,14,-28.46,21.24,77.0,3.36
497,Rovaniemi,0,FI,1547963400,83,66.5,25.72,-4.01,11.41
498,Gizo,0,IL,1547963400,81,31.8,34.94,50.0,2.24
499,Praya,40,ID,1547964000,55,-8.71,116.27,91.4,10.29
500,Saint Anthony,90,US,1547964480,88,43.97,-111.68,33.08,5.39
501,Alice Springs,8,AU,1547962200,9,-23.7,133.88,107.6,17.22
502,Pimenta Bueno,68,BR,1547965187,97,-11.68,-61.19,71.13,2.37
503,Pasni,20,PK,1547965188,100,25.26,63.48,69.24,1.92
504,Buala,76,SB,1547965190,88,-8.15,159.59,84.54,0.92
505,Inirida,68,CO,1547965191,98,3.87,-67.92,73.11,2.15
506,Kuito,32,AO,1547965192,66,-12.38,16.94,63.75,9.75
507,Tabou,80,CI,1547965194,100,4.42,-7.36,78.78,7.74
508,Honiara,48,SB,1547965195,83,-9.43,159.96,82.47,2.37
509,Comodoro Rivadavia,0,AR,1547964000,31,-45.87,-67.48,75.2,9.17
510,Tynda,8,RU,1547965198,66,55.15,124.74,-10.41,2.71
511,Vila Franca do Campo,20,PT,1547962200,87,37.72,-25.43,51.8,5.82
512,Beloha,36,MG,1547965200,61,-25.17,45.06,87.24,3.71
513,Sarangani,8,PH,1547965202,95,5.4,125.46,81.84,25.3
514,Huacho,8,PE,1547965204,95,-11.11,-77.61,64.2,2.93
515,Christchurch,0,NZ,1547964000,30,-43.53,172.64,71.6,18.34
516,Dehloran,0,IR,1547965206,82,32.69,47.27,39.9,3.27
517,Nekhayevskiy,64,RU,1547965208,87,50.41,41.76,15.24,6.4
518,Constitucion,0,MX,1547965008,73,23.99,-104.67,32.7,2.82
519,Butte,90,US,1547963580,88,46.01,-112.54,32.0,5.73
520,Churapcha,24,RU,1547965211,0,62.0,132.43,-38.22,2.71
521,Dunedin,56,NZ,1547964950,67,-45.87,170.5,59.7,20.83
522,Dawlatabad,88,AF,1547965015,100,36.41,64.91,33.33,4.94
523,Brno,0,CZ,1547962200,86,49.19,16.61,26.6,6.93
524,Hammerfest,80,NO,1547963400,62,70.66,23.68,24.8,24.16
525,Idaho Falls,90,US,1547964480,88,43.49,-112.04,33.08,7.52
526,Mackay,20,CA,1547960400,84,53.65,-115.58,5.0,5.82
527,Mazamet,90,FR,1547962200,86,43.49,2.38,42.8,8.05
528,Ondjiva,88,AO,1547965222,100,-17.07,15.73,66.81,1.14
529,Lugovoy,36,RU,1547965224,86,59.72,65.88,18.03,5.84
530,Port Lavaca,1,US,1547963700,62,28.61,-96.63,44.06,9.17
531,Kodinsk,76,RU,1547965226,70,58.6,99.18,21.0,4.5
532,Yasnyy,80,RU,1547965227,79,64.04,44.09,10.47,2.93
533,Chistogorskiy,8,RU,1547965229,69,53.98,87.38,15.06,2.71
534,Talakan,48,RU,1547965230,52,50.29,130.28,-4.56,5.95
535,Magburaka,0,SL,1547965231,78,8.72,-11.95,62.94,2.93
